date,vacancies,daten,unemp,emp,st_unemp,mdate,frate,srate,avg_frate,avg_srate,q_frate,q_srate,tightness
1948-01-01,,01jan1948,2034,58061,1188,1948m1,.53244835,.032321092,,,,,
1948-02-01,,01feb1948,2328,58196,1377,1948m2,.51890033,.029677214,,,,,
1948-03-01,,01mar1948,2399,57671,1279,1948m3,.61442268,.036567222,,,,,
1948-04-01,,01apr1948,2386,58291,1461,1948m4,.59262365,.027938485,,,,,
1948-05-01,,01may1948,2118,57854,1146,1948m5,.56232297,.030946663,,,,,
1948-06-01,,01jun1948,2214,58743,1287,1948m6,.56910568,.029956568,,,,,
1948-07-01,,01jul1948,2213,58968,1259,1948m7,.62087661,.037159935,,,,,
1948-08-01,,01aug1948,2350,58456,1511,1948m8,.55021274,.02938096,,,,,
1948-09-01,,01sep1948,2302,58513,1245,1948m9,.54430932,.028411483,,,,,
1948-10-01,,01oct1948,2259,58387,1210,1948m10,.54227537,.029396502,,,,,
1948-11-01,,01nov1948,2285,58417,1251,1948m11,.56367618,.034133546,,,,,
1948-12-01,,01dec1948,2429,58740,1432,1948m12,.5529024,.035528362,,,,,
1949-01-01,,01jan1949,2596,58175,1510,1949m1,.5200308,.037236981,,,,,
1949-02-01,,01feb1949,2849,58208,1603,1949m2,.50895053,.03758454,,,,,
1949-03-01,,01mar1949,3030,58043,1631,1949m3,.46930692,.037187934,,,,,
1949-04-01,,01apr1949,3260,57747,1652,1949m4,.44079754,.04184841,,,,,
1949-05-01,,01may1949,3707,57552,1884,1949m5,.44780147,.038709477,,,,,
1949-06-01,,01jun1949,3776,57172,1729,1949m6,.40174788,.040536132,,,,,
1949-07-01,,01jul1949,4111,57190,1852,1949m7,.43590367,.041900191,,,,,
1949-08-01,,01aug1949,4193,57397,1874,1949m8,.42809445,.036598343,,,,,
1949-09-01,,01sep1949,4049,57584,1651,1949m9,.36181775,.049441826,,,,,
1949-10-01,,01oct1949,4916,57269,2332,1949m10,.54251426,.041859977,,,,,
1949-11-01,,01nov1949,3996,58009,1747,1949m11,.42067066,.038159557,,,,,
1949-12-01,,01dec1949,4063,57845,1748,1949m12,.4472065,.039634235,,,,,
1950-01-01,,01jan1950,4026,57635,1780,1950m1,.41977149,.03513531,,,,,
1950-02-01,,01feb1950,3936,57751,1600,1950m2,.39710367,.032473121,,,,,
1950-03-01,,01mar1950,3876,57728,1503,1950m3,.45743033,.033060279,,,,,
1950-04-01,,01apr1950,3575,58583,1472,1950m4,.44895104,.032223593,,,,,
1950-05-01,,01may1950,3434,58649,1464,1950m5,.44700059,.03223474,,,,,
1950-06-01,,01jun1950,3367,59052,1468,1950m6,.49242648,.031698879,,,,,
1950-07-01,,01jul1950,3120,59001,1411,1950m7,.50384617,.028343383,,,,,
1950-08-01,,01aug1950,2799,59797,1251,1950m8,.46337977,.027686698,,,,,
1950-09-01,,01sep1950,2774,59575,1272,1950m9,.50865179,.028408365,,,,,
1950-10-01,,01oct1950,2625,59803,1262,1950m10,.52952379,.030794112,,,,,
1950-11-01,,01nov1950,2589,59697,1354,1950m11,.54422557,.033576753,,,,,
1950-12-01,,01dec1950,2639,59429,1459,1950m12,.54907161,.025861902,,,,,
1951-01-01,,01jan1951,2305,59636,1115,1951m1,.56182212,.025814071,,,,,
1951-02-01,,01feb1951,2117,59661,1107,1951m2,.57014644,.028485522,,,,,
