qdate,urate,frate,srate,vacancies,unemp,q_frate,q_srate,avg_qfrate,avg_qsrate,avg_urate,tightness
-48,3.733333333333333,.55525714,.032855175,,2253.666666666667,.91203153,.095362604,.78043771,.088604279,5.7341437,
-47,3.666666666666667,.57468408,.029613905,,2239.333333333333,.92306304,.086236738,.78043771,.088604279,5.7341437,
-46,3.766666666666667,.57179958,.031650793,,2288.333333333333,.92148703,.091978766,.78043771,.088604279,5.7341437,
-45,3.833333333333333,.55295134,.033019468,,2324.333333333333,.91065621,.095823549,.78043771,.088604279,5.7341437,
-44,4.666666666666667,.4994294,.037336484,,2825,.87457156,.10787946,.78043771,.088604279,5.7341437,
-43,5.866666666666666,.43011564,.040364671,,3581,.81491971,.11627186,.78043771,.088604279,5.7341437,
-42,6.7,.40860528,.042646788,,4117.666666666667,.79316103,.12256169,.78043771,.088604279,5.7341437,
-41,6.966666666666666,.47013047,.03988459,,4325,.85123295,.11494488,.78043771,.088604279,5.7341437,
-40,6.399999999999999,.42476851,.033556238,,3946,.80966091,.097328432,.78043771,.088604279,5.7341437,
-39,5.566666666666667,.46279269,.032052405,,3458.666666666667,.84496641,.093108073,.78043771,.088604279,5.7341437,
-38,4.633333333333334,.49195924,.02814615,,2897.666666666667,.86887193,.082084127,.78043771,.088604279,5.7341437,
-37,4.233333333333333,.54094034,.03007759,,2617.666666666667,.90325969,.087545998,.78043771,.088604279,5.7341437,
-36,3.5,.59159738,.027533656,,2182.333333333333,.93188143,.080347538,.78043771,.088604279,5.7341437,
-35,3.1,.58862042,.0271075,,1923.333333333333,.93038094,.079137966,.78043771,.088604279,5.7341437,
-34,3.166666666666667,.59111011,.029649638,,1983.333333333333,.93163729,.086337678,.78043771,.088604279,5.7341437,
-33,3.366666666666667,.57654148,.026812661,,2110.666666666667,.92406666,.078300506,.78043771,.088604279,5.7341437,
-32,3.066666666666667,.63198251,.028040143,,1914,.95015687,.081783727,.78043771,.088604279,5.7341437,
-31,2.966666666666667,.6087532,.028406942,,1852.666666666667,.94011027,.082822889,.78043771,.088604279,5.7341437,
-30,3.233333333333333,.59863728,.027316937,,2004.666666666667,.93534368,.079732552,.78043771,.088604279,5.7341437,
-29,2.833333333333333,.59329468,.024414685,,1749.666666666667,.93272722,.07147038,.78043771,.088604279,5.7341437,
-28,2.7,.6513148,.025821164,,1707.333333333333,.95760638,.075480513,.78043771,.088604279,5.7341437,
-27,2.566666666666667,.61307949,.023209149,,1642,.94207513,.068023957,.78043771,.088604279,5.7341437,
-26,2.733333333333334,.61600286,.027408114,,1715.333333333333,.94337815,.079991318,.78043771,.088604279,5.7341437,
-25,3.7,.51695085,.034873042,,2334.333333333333,.88728702,.10101315,.78043771,.088604279,5.7341437,
-24,5.266666666666667,.44898748,.036789749,,3338.333333333333,.83270442,.10635858,.78043771,.088604279,5.7341437,
-23,5.8,.44500101,.034596853,,3689,.82904708,.10024114,.78043771,.088604279,5.7341437,
-22,5.966666666666666,.41478965,.033421192,,3813.333333333333,.79958236,.09694998,.78043771,.088604279,5.7341437,
-21,5.333333333333333,.46508801,.030778959,,3421.333333333333,.84694517,.089524001,.78043771,.088604279,5.7341437,
-20,4.733333333333333,.42899701,.026398376,,3014.666666666667,.81382769,.077122897,.78043771,.088604279,5.7341437,
-19,4.399999999999999,.50525755,.028090015,,2832.333333333333,.87890184,.081925064,.78043771,.088604279,5.7341437,
-18,4.1,.49787089,.02991995,,2698,.87339634,.087101027,.78043771,.088604279,5.7341437,
-17,4.233333333333333,.50461346,.028593695,,2790.333333333333,.87842828,.083351664,.78043771,.088604279,5.7341437,
-16,4.033333333333334,.51749563,.029324872,,2678.666666666667,.88766795,.08541999,.78043771,.088604279,5.7341437,
-15,4.2,.49470884,.03096286,,2797.666666666667,.8709895,.090042166,.78043771,.088604279,5.7341437,
-14,4.133333333333334,.53416038,.028816549,,2762.666666666667,.89890975,.083982393,.78043771,.088604279,5.7341437,
-13,4.133333333333333,.49448073,.029808348,,2740.666666666667,.87081468,.08678592,.78043771,.088604279,5.7341437,
-12,3.933333333333334,.51229763,.027047679,,2642.333333333333,.88399822,.078968093,.78043771,.088604279,5.7341437,
