date,alp,daten,urate,vacancies,unemp,emp,st_unemp,mdate,qdate,st_unemp_adj,frate,srate,avg_frate,tightness,lurate,lurate_hp
1951-01-01,27.227,01jan1951,.037,,2305,59636,1115,1951m1,1951q1,1115,.56182212,.025814071,.42041659,,-3.2968373,.23429006
1951-02-01,,01feb1951,.034,,2117,59661,1107,1951m2,1951q1,1107,.57014644,.028485522,.42041659,,-3.3813949,.14319266
1951-03-01,,01mar1951,.034,,2125,60401,1215,1951m3,1951q1,1215,.64282352,.028301375,.42041659,,-3.3813949,.13665099
1951-04-01,27.144,01apr1951,.031,,1919,59889,1160,1951m4,1951q2,1160,.61907244,.027205991,.42041659,,-3.473768,.03773148
1951-05-01,,01may1951,.03,,1856,60188,1125,1951m5,1951q2,1125,.53125,.025452165,.42041659,,-3.5065579,-.0016135442
1951-06-01,,01jun1951,.032,,1995,59620,1125,1951m6,1951q2,1125,.61553884,.028664343,.42041659,,-3.4420195,.056356911
1951-07-01,27.747,01jul1951,.031,,1950,60156,1183,1951m7,1951q3,1183,.61589742,.028440319,.42041659,,-3.473768,.018023165
1951-08-01,,01aug1951,.031,,1933,59994,1184,1951m8,1951q3,1184,.60010344,.030814882,.42041659,,-3.473768,.011416078
1951-09-01,,01sep1951,.033,,2067,59713,1294,1951m9,1951q3,1294,.55732948,.029693712,.42041659,,-3.4112477,.067302562
1951-10-01,27.828,01oct1951,.035,,2194,60010,1279,1951m10,1951q4,1279,.56927985,.028722005,.42041659,,-3.3524072,.1194777
1951-11-01,,01nov1951,.035,,2178,59836,1233,1951m11,1951q4,1233,.62258953,.027615082,.42041659,,-3.3524072,.1127753
1951-12-01,,01dec1951,.031,,1960,60497,1138,1951m12,1951q4,1138,.53775513,.0241009,.42041659,,-3.473768,-.015331263
1952-01-01,27.97,01jan1952,.032,,1972,60460,1066,1952m1,1952q1,1066,.60649085,.028035088,.42041659,,-3.4420195,.0096208947
1952-02-01,,01feb1952,.031,,1957,60462,1181,1952m2,1952q1,1181,.66121614,.028414162,.42041659,,-3.473768,-.02898171
1952-03-01,,01mar1952,.029,,1813,59908,1150,1952m3,1952q1,1150,.62824047,.027671179,.42041659,,-3.5404594,-.10259205
1952-04-01,27.914,01apr1952,.029,,1811,59909,1137,1952m4,1952q2,1137,.62230814,.028569302,.42041659,,-3.5404594,-.10958281
1952-05-01,,01may1952,.03,,1863,60195,1179,1952m5,1952q2,1179,.63070315,.029020384,.42041659,,-3.5065579,-.082750104
1952-06-01,,01jun1952,.03,,1884,60219,1196,1952m6,1952q2,1196,.57324839,.027631139,.42041659,,-3.5065579,-.089902148
1952-07-01,27.777,01jul1952,.032,,1991,59971,1187,1952m7,1952q3,1187,.58965343,.030030778,.42041659,,-3.4420195,-.032603685
1952-08-01,,01aug1952,.034,,2087,59790,1270,1952m8,1952q3,1270,.61379969,.027268039,.42041659,,-3.3813949,.020688945
1952-09-01,,01sep1952,.031,,1936,60521,1130,1952m9,1952q3,1130,.59245867,.024651993,.42041659,,-3.473768,-.079111844
