date,urate,daten,vacancies,unemp,emp,st_unemp,mdate,qdate,st_unemp_adj,frate,srate,avg_frate,avg_srate,u_ss,frate_hp,frate_trend,srate_hp,srate_trend,avg_frate_hp,avg_srate_hp
1/1/51,3.7,1-Jan-51,,2305,59636,1115,1951m1,1951q1,1115,0.56182212,0.025814071,0.42041659,0.031399518,0.069496237,-0.060500499,0.62232262,-0.001266232,0.027080303,0.42041659,0.031399518
2/1/51,3.4,1-Feb-51,,2117,59661,1107,1951m2,1951q1,1107,0.57014644,0.028485522,0.42041659,0.031399518,0.069496237,-0.049897328,0.62004375,0.001346682,0.02713884,0.42041659,0.031399518
3/1/51,3.4,1-Mar-51,,2125,60401,1215,1951m3,1951q1,1215,0.64282352,0.028301375,0.42041659,0.031399518,0.069496237,0.025059201,0.61776429,0.001104011,0.027197363,0.42041659,0.031399518
4/1/51,3.1,1-Apr-51,,1919,59889,1160,1951m4,1951q2,1160,0.61907244,0.027205991,0.42041659,0.031399518,0.069496237,0.003589282,0.61548316,-4.9885E-05,0.027255876,0.42041659,0.031399518
5/1/51,3,1-May-51,,1856,60188,1125,1951m5,1951q2,1125,0.53125,0.025452165,0.42041659,0.031399518,0.069496237,-0.081949428,0.61319941,-0.001862223,0.027314387,0.42041659,0.031399518
6/1/51,3.2,1-Jun-51,,1995,59620,1125,1951m6,1951q2,1125,0.61553884,0.028664343,0.42041659,0.031399518,0.069496237,0.004626508,0.61091232,0.001291432,0.027372912,0.42041659,0.031399518
7/1/51,3.1,1-Jul-51,,1950,60156,1183,1951m7,1951q3,1183,0.61589742,0.028440319,0.42041659,0.031399518,0.069496237,0.00727721,0.60862023,0.001008881,0.027431438,0.42041659,0.031399518
8/1/51,3.1,1-Aug-51,,1933,59994,1184,1951m8,1951q3,1184,0.60010344,0.030814882,0.42041659,0.031399518,0.069496237,-0.006218041,0.60632145,0.003324907,0.027489975,0.42041659,0.031399518
9/1/51,3.3,1-Sep-51,,2067,59713,1294,1951m9,1951q3,1294,0.55732948,0.029693712,0.42041659,0.031399518,0.069496237,-0.046685148,0.60401464,0.002145174,0.027548539,0.42041659,0.031399518
10/1/51,3.5,1-Oct-51,,2194,60010,1279,1951m10,1951q4,1279,0.56927985,0.028722005,0.42041659,0.031399518,0.069496237,-0.032418218,0.60169804,0.00111483,0.027607175,0.42041659,0.031399518
11/1/51,3.5,1-Nov-51,,2178,59836,1233,1951m11,1951q4,1233,0.62258953,0.027615082,0.42041659,0.031399518,0.069496237,0.023219775,0.59936976,-5.08748E-05,0.027665956,0.42041659,0.031399518
12/1/51,3.1,1-Dec-51,,1960,60497,1138,1951m12,1951q4,1138,0.53775513,0.0241009,0.42041659,0.031399518,0.069496237,-0.059272185,0.5970273,-0.003624065,0.027724965,0.42041659,0.031399518
1/1/52,3.2,1-Jan-52,,1972,60460,1066,1952m1,1952q1,1066,0.60649085,0.028035088,0.42041659,0.031399518,0.069496237,0.011822231,0.59466863,0.000250808,0.02778428,0.42041659,0.031399518
2/1/52,3.1,1-Feb-52,,1957,60462,1181,1952m2,1952q1,1181,0.66121614,0.028414162,0.42041659,0.031399518,0.069496237,0.068925217,0.59229094,0.000570214,0.027843948,0.42041659,0.031399518
3/1/52,2.9,1-Mar-52,,1813,59908,1150,1952m3,1952q1,1150,0.62824047,0.027671179,0.42041659,0.031399518,0.069496237,0.038348839,0.58989161,-0.000232837,0.027904015,0.42041659,0.031399518
4/1/52,2.9,1-Apr-52,,1811,59909,1137,1952m4,1952q2,1137,0.62230814,0.028569302,0.42041659,0.031399518,0.069496237,0.034839343,0.5874688,0.000604766,0.027964536,0.42041659,0.031399518
5/1/52,3,1-May-52,,1863,60195,1179,1952m5,1952q2,1179,0.63070315,0.029020384,0.42041659,0.031399518,0.069496237,0.045682266,0.5850209,0.000994825,0.028025558,0.42041659,0.031399518
6/1/52,3,1-Jun-52,,1884,60219,1196,1952m6,1952q2,1196,0.57324839,0.027631139,0.42041659,0.031399518,0.069496237,-0.009298329,0.58254671,-0.000456003,0.028087143,0.42041659,0.031399518
7/1/52,3.2,1-Jul-52,,1991,59971,1187,1952m7,1952q3,1187,0.58965343,0.030030778,0.42041659,0.031399518,0.069496237,0.009607889,0.58004552,0.001881425,0.028149353,0.42041659,0.031399518
8/1/52,3.4,1-Aug-52,,2087,59790,1270,1952m8,1952q3,1270,0.61379969,0.027268039,0.42041659,0.031399518,0.069496237,0.036283147,0.57751656,-0.000944214,0.028212253,0.42041659,0.031399518
9/1/52,3.1,1-Sep-52,,1936,60521,1130,1952m9,1952q3,1130,0.59245867,0.024651993,0.42041659,0.031399518,0.069496237,0.017499685,0.57495898,-0.003623929,0.028275922,0.42041659,0.031399518
10/1/52,3,1-Oct-52,,1839,60132,1050,1952m10,1952q4,1050,0.6052202,0.024251558,0.42041659,0.031399518,0.069496237,0.032847714,0.5723725,-0.004088875,0.028340433,0.42041659,0.031399518
11/1/52,2.8,1-Nov-52,,1743,60748,1017,1952m11,1952q4,1017,0.64257026,0.025321018,0.42041659,0.031399518,0.069496237,0.072813392,0.56975687,-0.003084803,0.028405821,0.42041659,0.031399518
12/1/52,2.7,1-Dec-52,,1667,60954,1044,1952m12,1952q4,1044,0.53209358,0.023671478,0.42041659,0.031399518,0.069496237,-0.035018671,0.56711227,-0.004800601,0.028472079,0.42041659,0.031399518
1/1/53,2.9,1-Jan-53,,1839,61600,1059,1953m1,1953q1,1059,0.69113648,0.026492696,0.42041659,0.031399518,0.069496237,0.12669696,0.56443954,-0.002046476,0.028539173,0.42041659,0.031399518
2/1/53,2.6,1-Feb-53,,1636,61884,1068,1953m2,1953q1,1068,0.62224936,0.024137728,0.42041659,0.031399518,0.069496237,0.060510211,0.56173915,-0.004469288,0.028607016,0.42041659,0.031399518
3/1/53,2.6,1-Mar-53,,1647,62010,1029,1953m3,1953q1,1029,0.6405586,0.02683307,0.42041659,0.031399518,0.069496237,0.081545644,0.55901295,-0.001842434,0.028675504,0.42041659,0.031399518
4/1/53,2.7,1-Apr-53,,1723,61444,1131,1953m4,1953q2,1131,0.63842136,0.023260584,0.42041659,0.031399518,0.069496237,0.082158051,0.55626333,-0.005483905,0.028744489,0.42041659,0.031399518
5/1/53,2.5,1-May-53,,1596,61019,973,1953m5,1953q2,973,0.61027569,0.023231246,0.42041659,0.031399518,0.069496237,0.056782294,0.55349338,-0.005582556,0.028813802,0.42041659,0.031399518
6/1/53,2.5,1-Jun-53,,1607,61456,985,1953m6,1953q2,985,0.59054136,0.023135617,0.42041659,0.031399518,0.069496237,0.039834116,0.55070722,-0.005747601,0.028883219,0.42041659,0.031399518
7/1/53,2.6,1-Jul-53,,1660,61397,1002,1953m7,1953q3,1002,0.6451807,0.025871031,0.42041659,0.031399518,0.069496237,0.097271249,0.54790944,-0.00308143,0.028952461,0.42041659,0.031399518
8/1/53,2.7,1-Aug-53,,1665,61151,1076,1953m8,1953q3,1076,0.60480481,0.027262846,0.42041659,0.031399518,0.069496237,0.059699807,0.54510498,-0.001758347,0.029021192,0.42041659,0.031399518
9/1/53,2.9,1-Sep-53,,1821,60906,1163,1953m9,1953q3,1163,0.59802306,0.029090464,0.42041659,0.031399518,0.069496237,0.055723201,0.54229987,1.42E-06,0.029089049,0.42041659,0.031399518
10/1/53,3.1,1-Oct-53,,1974,60893,1242,1953m10,1953q4,1242,0.54204661,0.029443849,0.42041659,0.031399518,0.069496237,0.002546042,0.53950059,0.000288207,0.029155642,0.42041659,0.031399518
11/1/53,3.5,1-Nov-53,,2211,60738,1307,1953m11,1953q4,1307,0.52193576,0.039231557,0.42041659,0.031399518,0.069496237,-0.014778483,0.53671426,0.010010968,0.029220589,0.42041659,0.031399518
12/1/53,4.5,1-Dec-53,,2818,59977,1761,1953m12,1953q4,1761,0.48687011,0.03594372,0.42041659,0.031399518,0.069496237,-0.047077924,0.53394806,0.006660212,0.029283509,0.42041659,0.031399518
1/1/54,4.9,1-Jan-54,,3077,60024,1631,1954m1,1954q1,1631,0.47188821,0.037198804,0.42041659,0.031399518,0.069496237,-0.059320714,0.53120893,0.007854687,0.029344117,0.42041659,0.031399518
2/1/54,5.2,1-Feb-54,,3331,60663,1706,1954m2,1954q1,1706,0.43620536,0.036452003,0.42041659,0.031399518,0.069496237,-0.09229809,0.52850342,0.0070498,0.029402202,0.42041659,0.031399518
3/1/54,5.7,1-Mar-54,,3607,60186,1729,1954m3,1954q1,1729,0.43886888,0.036718439,0.42041659,0.031399518,0.069496237,-0.086968631,0.52583754,0.007260813,0.029457627,0.42041659,0.031399518
4/1/54,5.9,1-Apr-54,,3749,60185,1725,1954m4,1954q2,1725,0.43344891,0.034852564,0.42041659,0.031399518,0.069496237,-0.089767233,0.52321613,0.005342241,0.029510323,0.42041659,0.031399518
5/1/54,5.9,1-May-54,,3767,59908,1643,1954m5,1954q2,1643,0.47491372,0.034433365,0.42041659,0.031399518,0.069496237,-0.045729741,0.52064347,0.004873065,0.0295603,0.42041659,0.031399518
6/1/54,5.6,1-Jun-54,,3551,59792,1573,1954m6,1954q2,1573,0.42664039,0.034504633,0.42041659,0.031399518,0.069496237,-0.091482311,0.51812267,0.004897017,0.029607616,0.42041659,0.031399518
7/1/54,5.8,1-Jul-54,,3659,59643,1623,1954m7,1954q3,1623,0.3804318,0.032858536,0.42041659,0.031399518,0.069496237,-0.13522485,0.51565665,0.003206155,0.029652381,0.42041659,0.031399518
8/1/54,6,1-Aug-54,,3854,59853,1587,1954m8,1954q3,1587,0.40659055,0.034392245,0.42041659,0.031399518,0.069496237,-0.10665663,0.51324719,0.004697492,0.029694753,0.42041659,0.031399518
9/1/54,6.1,1-Sep-54,,3927,60282,1640,1954m9,1954q3,1640,0.45734659,0.0330128,0.42041659,0.031399518,0.069496237,-0.053548209,0.51089478,0.00327788,0.029734921,0.42041659,0.031399518
10/1/54,5.7,1-Oct-54,,3666,60270,1535,1954m10,1954q4,1535,0.46944898,0.03158934,0.42041659,0.031399518,0.069496237,-0.039149966,0.50859892,0.001816219,0.029773122,0.42041659,0.031399518
11/1/54,5.3,1-Nov-54,,3402,60357,1457,1954m11,1954q4,1457,0.47619048,0.030748298,0.42041659,0.031399518,0.069496237,-0.030168064,0.50635856,0.000938674,0.029809624,0.42041659,0.031399518
12/1/54,5,1-Dec-54,,3196,60116,1414,1954m12,1954q4,1414,0.44962454,0.029999238,0.42041659,0.031399518,0.069496237,-0.054547563,0.50417209,0.000154519,0.029844718,0.42041659,0.031399518
1/1/55,4.9,1-Jan-55,,3157,60753,1398,1955m1,1955q1,1398,0.47006652,0.027886545,0.42041659,0.031399518,0.069496237,-0.031971321,0.50203782,-0.001992155,0.0298787,0.42041659,0.031399518
2/1/55,4.7,1-Feb-55,,2969,60727,1296,1955m2,1955q1,1296,0.41596496,0.024616998,0.42041659,0.031399518,0.069496237,-0.083988473,0.49995342,-0.005294871,0.029911868,0.42041659,0.031399518
3/1/55,4.6,1-Mar-55,,2918,60964,1184,1955m3,1955q1,1184,0.40095955,0.026691586,0.42041659,0.031399518,0.069496237,-0.096956685,0.49791622,-0.003252916,0.029944502,0.42041659,0.031399518
4/1/55,4.7,1-Apr-55,,3049,61515,1301,1955m4,1955q2,1301,0.52377826,0.028521158,0.42041659,0.031399518,0.069496237,0.027855504,0.49592274,-0.001455668,0.029976826,0.42041659,0.031399518
5/1/55,4.3,1-May-55,,2747,61634,1295,1955m5,1955q2,1295,0.49180925,0.028077852,0.42041659,0.031399518,0.069496237,-0.00215929,0.49396855,-0.001931183,0.030009035,0.42041659,0.031399518
6/1/55,4.2,1-Jun-55,,2701,61781,1305,1955m6,1955q2,1305,0.50018513,0.027671037,0.42041659,0.031399518,0.069496237,0.008135726,0.4920494,-0.002370269,0.030041305,0.42041659,0.031399518
7/1/55,4,1-Jul-55,,2632,62513,1282,1955m7,1955q3,1282,0.49126139,0.030641746,0.42041659,0.031399518,0.069496237,0.001100234,0.49016115,0.000567945,0.030073801,0.42041659,0.031399518
8/1/55,4.2,1-Aug-55,,2784,62797,1445,1955m8,1955q3,1445,0.52550286,0.029310755,0.42041659,0.031399518,0.069496237,0.037203182,0.48829967,-0.000795897,0.030106653,0.42041659,0.031399518
9/1/55,4.1,1-Sep-55,,2678,62950,1357,1955m9,1955q3,1357,0.47684839,0.02980735,0.42041659,0.031399518,0.069496237,-0.009612461,0.48646086,-0.000332655,0.030140005,0.42041659,0.031399518
10/1/55,4.3,1-Oct-55,,2830,62991,1429,1955m10,1955q4,1429,0.50742048,0.029483378,0.42041659,0.031399518,0.069496237,0.022779526,0.48464096,-0.000690612,0.030173989,0.42041659,0.031399518
11/1/55,4.2,1-Nov-55,,2780,63257,1386,1955m11,1955q4,1386,0.4881295,0.02798098,0.42041659,0.031399518,0.069496237,0.00529335,0.48283616,-0.002227759,0.030208739,0.42041659,0.031399518
12/1/55,4.2,1-Dec-55,,2761,63684,1338,1955m12,1955q4,1338,0.51829046,0.028316727,0.42041659,0.031399518,0.069496237,0.037247635,0.48104283,-0.001927646,0.030244373,0.42041659,0.031399518
1/1/56,4,1-Jan-56,,2666,63753,1336,1956m1,1956q1,1336,0.50600147,0.027066501,0.42041659,0.031399518,0.069496237,0.02674403,0.47925743,-0.003214494,0.030280996,0.42041659,0.031399518
2/1/56,3.9,1-Feb-56,,2606,63518,1289,1956m2,1956q1,1289,0.51573294,0.031863324,0.42041659,0.031399518,0.069496237,0.038256127,0.47747681,0.001544638,0.030318687,0.42041659,0.031399518
3/1/56,4.2,1-Mar-56,,2764,63411,1502,1956m3,1956q1,1502,0.53075254,0.02904479,0.42041659,0.031399518,0.069496237,0.055054501,0.47569805,-0.001312706,0.030357497,0.42041659,0.031399518
4/1/56,4,1-Apr-56,,2650,63614,1353,1956m4,1956q2,1353,0.47999999,0.030674314,0.42041659,0.031399518,0.069496237,0.006081409,0.47391859,0.000276824,0.03039749,0.42041659,0.031399518
5/1/56,4.3,1-May-56,,2861,63861,1483,1956m5,1956q2,1483,0.51869977,0.031819087,0.42041659,0.031399518,0.069496237,0.046563301,0.47213647,0.001380368,0.030438719,0.42041659,0.031399518
6/1/56,4.3,1-Jun-56,,2882,63820,1505,1956m6,1956q2,1505,0.48542678,0.03039518,0.42041659,0.031399518,0.069496237,0.015077014,0.47034976,-8.60579E-05,0.030481238,0.42041659,0.031399518
7/1/56,4.4,1-Jul-56,,2952,63800,1469,1956m7,1956q3,1469,0.55115175,0.029771784,0.42041659,0.031399518,0.069496237,0.0825947,0.46855706,-0.000753331,0.030525114,0.42041659,0.031399518
8/1/56,4.1,1-Aug-56,,2701,63972,1376,1956m8,1956q3,1376,0.52647167,0.028770093,0.42041659,0.031399518,0.069496237,0.059714675,0.466757,-0.001800326,0.03057042,0.42041659,0.031399518
9/1/56,3.9,1-Sep-56,,2635,64079,1356,1956m9,1956q3,1356,0.5248577,0.02790777,0.42041659,0.031399518,0.069496237,0.05990855,0.46494916,-0.002709438,0.030617207,0.42041659,0.031399518
10/1/56,3.9,1-Oct-56,,2571,63975,1319,1956m10,1956q4,1319,0.46324387,0.030127965,0.42041659,0.031399518,0.069496237,0.000110254,0.46313363,-0.000537561,0.030665526,0.42041659,0.031399518
11/1/56,4.3,1-Nov-56,,2861,63796,1481,1956m11,1956q4,1481,0.53023416,0.030843005,0.42041659,0.031399518,0.069496237,0.068923026,0.46131113,0.000127618,0.030715385,0.42041659,0.031399518
12/1/56,4.2,1-Dec-56,,2790,63910,1446,1956m12,1956q4,1446,0.48996416,0.028454075,0.42041659,0.031399518,0.069496237,0.030481754,0.4594824,-0.002312725,0.0307668,0.42041659,0.031399518
1/1/57,4.2,1-Jan-57,,2796,63632,1373,1957m1,1957q1,1373,0.52467811,0.027546484,0.42041659,0.031399518,0.069496237,0.06702926,0.45764884,-0.003273292,0.030819776,0.42041659,0.031399518
2/1/57,3.9,1-Feb-57,,2622,64257,1293,1957m2,1957q1,1293,0.51639968,0.026035409,0.42041659,0.031399518,0.069496237,0.060587484,0.45581219,-0.004838894,0.030874303,0.42041659,0.031399518
3/1/57,3.7,1-Mar-57,,2509,64404,1241,1957m3,1957q1,1241,0.49581507,0.027561141,0.42041659,0.031399518,0.069496237,0.041840248,0.45397481,-0.003369195,0.030930337,0.42041659,0.031399518
4/1/57,3.9,1-Apr-57,,2600,64047,1335,1957m4,1957q2,1335,0.505,0.029723154,0.42041659,0.031399518,0.069496237,0.052860282,0.45213971,-0.001264628,0.030987782,0.42041659,0.031399518
5/1/57,4.1,1-May-57,,2710,63985,1423,1957m5,1957q2,1423,0.45977861,0.028249314,0.42041659,0.031399518,0.069496237,0.009468314,0.45031029,-0.0027972,0.031046513,0.42041659,0.031399518
6/1/57,4.3,1-Jun-57,,2856,64196,1392,1957m6,1957q2,1392,0.49929971,0.028358206,0.42041659,0.031399518,0.069496237,0.050809208,0.4484905,-0.002748185,0.031106392,0.42041659,0.031399518
7/1/57,4.2,1-Jul-57,,2796,64540,1366,1957m7,1957q3,1366,0.51645207,0.029138934,0.42041659,0.031399518,0.069496237,0.069767721,0.44668436,-0.002028313,0.031167246,0.42041659,0.031399518
8/1/57,4.1,1-Aug-57,,2747,63959,1395,1957m8,1957q3,1395,0.46887514,0.030307606,0.42041659,0.031399518,0.069496237,0.023978723,0.44489643,-0.000921279,0.031228885,0.42041659,0.031399518
9/1/57,4.4,1-Sep-57,,2943,64121,1484,1957m9,1957q3,1484,0.44920149,0.028137924,0.42041659,0.031399518,0.069496237,0.006069575,0.44313192,-0.003153166,0.03129109,0.42041659,0.031399518
