mdate,st_unemp,emp,unemp,v_jolts,urate,AHETPI,wages,alp,gdp,v_hwi,v_hwi_rate,year,month,st_unemp_adj,frate,srate,theta_jolts,theta_hwi
1951m1,1115,59636,2305,,.037,,37.839001,25.837,2593.967,2313.197608468671,3.734517699857398,1951,1,1115,.56182212,.025814071,,1.0035565
1951m2,1107,59661,2117,,.034000002,,,,,2295.68900622896,3.716029988392244,1951,2,1107,.57014644,.028485522,,1.0844067
1951m3,1215,60401,2125,,.034000002,,,,,2554.677438613638,4.085784215548153,1951,3,1215,.64282352,.028301375,,1.2022011
1951m4,1160,59889,1919,,.030999999,,38.306999,25.757999,2638.8979,2502.487738541236,4.048808792617843,1951,4,1160,.61907244,.027205991,,1.3040582
1951m5,1125,60188,1856,,.029999999,,,,,2534.983958694696,4.085784215548153,1951,5,1125,.53125,.025452165,,1.3658319
1951m6,1125,59620,1995,,.032000002,,,,,2392.152707459682,3.882419390505043,1951,6,1125,.61553884,.028664343,,1.199074
1951m7,1183,60156,1950,,.030999999,,38.752998,26.329,2693.259,2388.251430501963,3.845443967574732,1951,7,1183,.61589742,.028440319,,1.2247443
1951m8,1184,59994,1933,,.030999999,,,,,2404.265855958058,3.882419390505043,1951,8,1184,.60010344,.030814882,,1.2438003
1951m9,1294,59713,2067,,.033,,,,,2478.510656456226,4.01183337076113,1951,9,1294,.55732948,.029693712,,1.199086
1951m10,1279,60010,2194,,.035,,38.916,26.408001,2699.156,2472.520637868683,3.974857947830821,1951,10,1279,.56927985,.028722005,,1.1269464
1951m11,1233,59836,2178,,.035,,,,,2430.5734996038,3.919394813435354,1951,11,1233,.62258953,.027615082,,1.1159658
1951m12,1138,60497,1960,,.030999999,,,,,2401.748938828151,3.845443967574733,1951,12,1138,.53775513,.0241009,,1.2253821
1952m1,1066,60460,1972,,.032000002,,39.179001,26.542999,2727.9541,2550.836801451024,4.085784215548155,1952,1,1066,.60649085,.028035088,,1.2935278
1952m2,1181,60462,1957,,.030999999,,,,,2584.925183361308,4.14124734994362,1952,2,1181,.66121614,.028414162,,1.3208611
1952m3,1150,59908,1813,,.029000001,,,,,2476.143674767478,4.011833370761131,1952,3,1150,.62824047,.027671179,,1.3657714
1952m4,1137,59909,1811,,.029000001,,39.368999,26.49,2733.8,2453.282325401182,3.974857947830821,1952,4,1137,.62230814,.028569302,,1.3546562
1952m5,1179,60195,1863,,.029999999,,,,,2409.35182535962,3.882419390505043,1952,5,1179,.63070315,.029020384,,1.2932645
1952m6,1196,60219,1884,,.029999999,,,,,2261.840409886414,3.642079142531623,1952,6,1196,.57324839,.027631139,,1.2005522
1952m7,1187,59971,1991,,.032000002,,39.589001,26.360001,2753.5171,2153.606876958312,3.475689740418824,1952,7,1187,.58965343,.030030778,,1.081671
1952m8,1270,59790,2087,,.034000002,,,,,2310.807517140764,3.7345176998574,1952,8,1270,.61379969,.027268039,,1.1072389
1952m9,1130,60521,1936,,.030999999,,,,,2598.045727304079,4.159735061408775,1952,9,1130,.59245867,.024651993,,1.3419658
1952m10,1050,60132,1839,,.029999999,,40.540001,26.919001,2843.9409,2600.743454249775,4.196710484339086,1952,10,1050,.6052202,.024251558,,1.4142162
1952m11,1017,60748,1743,,.027999999,,,,,2726.544750042648,4.363099886451884,1952,11,1017,.64257026,.025321018,,1.5642827
1952m12,1044,60954,1667,,.027000001,,,,,2535.40455402522,4.048808792617844,1952,12,1044,.53209358,.023671478,,1.5209385
1953m1,1059,61600,1839,,.029000001,,41.126999,27.153,2896.811,2650.622744883493,4.17822277287393,1953,1,1059,.69113648,.026492696,,1.4413391
1953m2,1068,61884,1636,,.025999999,,,,,2759.697653551571,4.34461217498673,1953,2,1068,.62224936,.024137728,,1.6868567
1953m3,1029,62010,1647,,.025999999,,,,,2824.493384668172,4.437050732312506,1953,3,1029,.6405586,.02683307,,1.7149322
1953m4,1131,61444,1723,,.027000001,,41.456001,27.218,2919.2061,2615.901713538886,4.141247349943619,1953,4,1131,.63842136,.023260584,,1.5182251
1953m5,973,61019,1596,,.025,,,,,2581.46594763329,4.122759638478463,1953,5,973,.61027569,.023231246,,1.6174599
1953m6,985,61456,1607,,.025,,,,,2413.393423790382,3.826956256109577,1953,6,985,.59054136,.023135617,,1.5018005
1953m7,1002,61397,1660,,.025999999,,41.701,27.333,2902.7849,2226.639068271646,3.531152874814288,1953,7,1002,.6451807,.025871031,,1.3413489
1953m8,1076,61151,1665,,.027000001,,,,,2171.676026507535,3.457202028953667,1953,8,1076,.60480481,.027262846,,1.30431
1953m9,1163,60906,1821,,.029000001,,,,,2122.211969618775,3.383251183093047,1953,9,1163,.59802306,.029090464,,1.1654102
1953m10,1242,60893,1974,,.030999999,,42.033001,27.237,2858.845,1917.740470422598,3.050472378867447,1953,10,1242,.54204661,.029443849,,.97149974
1953m11,1307,60738,2211,,.035,,,,,1734.036586605878,2.75466899649856,1953,11,1307,.52193576,.039231557,,.78427708
1953m12,1761,59977,2818,,.045000002,,,,,1462.779153490919,2.329451633873587,1953,12,1761,.48687011,.03594372,,.51908416
1954m1,1631,60024,3077,,.049000002,,42.285999,27.294001,2845.1919,1493.239137113827,2.366427056803896,1954,1,1631,.47188821,.037198804,,.48529059
1954m2,1706,60663,3331,,.051999997,,,,,1431.554148893044,2.237013077621408,1954,2,1706,.43620536,.036452003,,.42976707
1954m3,1729,60186,3607,,.056999996,,,,,1379.882289507158,2.163062231760787,1954,3,1729,.43886888,.036718439,,.38255677
1954m4,1725,60185,3749,,.059,,42.402,27.483999,2848.3049,1335.652473461412,2.089111385900165,1954,4,1725,.43344891,.034852564,,.356269
1954m5,1643,59908,3767,,.059,,,,,1306.697575104668,2.052135964043453,1954,5,1643,.47491372,.034433365,,.34688017
1954m6,1573,59792,3551,,.055999998,,,,,1299.884483704044,2.052135964043452,1954,6,1573,.42664039,.034504633,,.36606154
1954m7,1623,59643,3659,,.058000002,,42.849998,27.979,2880.4819,1275.636925735441,2.015160541113142,1954,7,1623,.3804318,.032858536,,.34862992
